bowler,venue,format,innings,balls,runs_given,wickets,dot_balls,economy,average,dot_pct
A Ashokan,Marsa Sports Club,T20I,5,90,119.0,4,42,7.93,29.75,46.67
A Ashokan,"Moara Vlasiei Cricket Ground, Ilfov County",T20I,2,36,48.0,1,15,8.0,48.0,41.67
A Ashokan,Pierre Werner Cricket Ground,T20I,1,18,36.0,0,5,12.0,36.0,27.78
A Ashokan,"Scott Page Field, Vinor",T20I,7,138,162.0,10,52,7.04,16.2,37.68
A Ashokan,Tikkurila Cricket Ground,T20I,1,12,12.0,0,6,6.0,12.0,50.0
A Athanaze,"Kensington Oval, Bridgetown, Barbados",ODI,1,7,7.0,0,2,6.0,7.0,28.57
A Athanaze,Pallekele International Cricket Stadium,ODI,1,18,12.0,1,10,4.0,12.0,55.56
A Athanaze,"Queen's Park Oval, Port of Spain, Trinidad",Test,2,30,17.0,0,14,3.4,17.0,46.67
A Athanaze,"Saxton Oval, Nelson",T20I,1,7,16.0,0,1,13.71,16.0,14.29
A Athanaze,"Shere Bangla National Stadium, Mirpur",ODI,2,103,51.0,4,72,2.97,12.75,69.9
A Athanaze,"Sir Vivian Richards Stadium, North Sound, Antigua",Test,1,30,9.0,0,22,1.8,9.0,73.33
A Athanaze,"Windsor Park, Roseau, Dominica",Test,1,96,53.0,1,62,3.31,53.0,64.58
A Augastin,"Achimota Senior Secondary School A Field, Accra",T20I,1,18,22.0,1,10,7.33,22.0,55.56
A Augastin,"Achimota Senior Secondary School B Field, Accra",T20I,2,36,10.0,3,34,1.67,3.33,94.44
A Augastin,Harare Sports Club,T20I,3,48,61.0,3,20,7.62,20.33,41.67
A Augastin,"TCA Oval, Blantyre",T20I,1,2,6.0,0,1,18.0,6.0,50.0
A Augastin,"Takashinga Sports Club, Highfield, Harare",T20I,1,24,15.0,2,12,3.75,7.5,50.0
A Awasthi,La Manga Club Top Ground,T20I,2,24,73.0,1,3,18.25,73.0,12.5
A Badoni,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",IPL,1,8,18.0,0,2,13.5,18.0,25.0
A Badoni,"Brabourne Stadium, Mumbai",IPL,1,6,5.0,1,3,5.0,5.0,50.0
A Badoni,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",IPL,1,12,28.0,0,0,14.0,28.0,0.0
A Badoni,"Narendra Modi Stadium, Ahmedabad",IPL,1,12,8.0,4,4,4.0,2.0,33.33
A Badoni,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",IPL,1,1,0.0,0,1,0.0,0.0,100.0
A Badoni,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",IPL,1,6,19.0,0,0,19.0,19.0,0.0
A Badoni,"Sawai Mansingh Stadium, Jaipur",IPL,1,6,6.0,0,1,6.0,6.0,16.67
A Badoni,"Wankhede Stadium, Mumbai",IPL,1,6,6.0,1,1,6.0,6.0,16.67
A Balbirnie,"The Village, Malahide",ODI,1,24,31.0,1,10,7.75,31.0,41.67
A Beggs,North-West University No1 Ground,ODI,2,73,66.0,2,36,5.42,33.0,49.32
A Beggs,Senwes Park,ODI,1,60,64.0,3,25,6.4,21.33,41.67
A Beresford-Peirse,La Manga Club Top Ground,T20I,5,97,149.0,3,36,9.22,49.67,37.11
A Beresford-Peirse,"Mladost Cricket Ground, Zagreb",T20I,4,90,106.0,2,43,7.07,53.0,47.78
A Bester,"Desert Springs Cricket Ground, Almeria",T20I,4,72,89.0,6,32,7.42,14.83,44.44
A Bester,"FB Fields, St Clement",T20I,3,60,36.0,10,38,3.6,3.6,63.33
A Bester,"Grainville, St Saviour, Jersey",T20I,2,36,33.0,2,26,5.5,16.5,72.22
A Bhargava,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20I,1,12,14.0,1,8,7.0,14.0,66.67
A Bhattarai,P Sara Oval,T20I,1,18,12.0,2,10,4.0,6.0,55.56
A Bidari,Terdthai Cricket Ground,T20I,1,24,17.0,1,13,4.25,17.0,54.17
A Bierwisch,Bayer Uerdingen Cricket Ground,T20I,1,8,3.0,1,6,2.25,3.0,75.0
A Bierwisch,La Manga Club Bottom Ground,T20I,1,21,29.0,0,7,8.29,29.0,33.33
A Bierwisch,Seebarn Cricket Centre,T20I,3,55,30.0,7,46,3.27,4.29,83.64
A Bierwisch,"Seebarn Cricket Centre, Lower Austria",T20I,1,12,6.0,0,10,3.0,6.0,83.33
A Bishnoi,Europa Sports Complex,T20I,3,69,111.0,5,30,9.65,22.2,43.48
A Bishnoi,Marsa Sports Club,T20I,7,130,168.0,7,62,7.75,24.0,47.69
A Bishnoi,"Moara Vlasiei Cricket Ground, Ilfov County",T20I,2,11,27.0,0,4,14.73,27.0,36.36
A Bohara,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20I,12,264,306.0,24,86,6.95,12.75,32.58
A Bohara,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),T20I,3,48,49.0,4,22,6.12,12.25,45.83
A Bohara,"Arnos Vale Ground, Kingstown, St Vincent",T20I,2,24,29.0,0,11,7.25,29.0,45.83
A Bohara,"Grand Prairie Stadium, Dallas",T20I,1,22,29.0,1,5,7.91,29.0,22.73
A Bohara,ICC Academy,T20I,3,60,72.0,6,24,7.2,12.0,40.0
A Bohara,Indian Association Ground,T20I,7,138,162.0,7,45,7.04,23.14,32.61
A Bohara,Kinrara Academy Oval,T20I,1,24,25.0,1,10,6.25,25.0,41.67
A Bohara,Mulpani Cricket Ground,T20I,4,90,119.0,5,32,7.93,23.8,35.56
A Bohara,Terdthai Cricket Ground,T20I,2,48,47.0,3,23,5.88,15.67,47.92
