striker,format,cluster,average,strike_rate,boundary_pct,dot_pct,runs,player_score
Q de Kock,IPL,3,31.31,134.9,18.68,38.43,3444,5260.7
KA Pollard,IPL,3,26.64,147.57,19.11,36.15,3437,5321.7
HC Knight,ODI,6,36.07,77.66,8.25,53.16,3427,3735.9
AC Jayangani,T20I,3,29.04,117.46,19.01,50.43,3398,4777.0
HC Brook,Test,7,53.05,86.83,10.9,55.75,3395,4634.8
SW Bates,ODI,6,33.55,76.6,9.13,56.8,3389,3627.6
Mohammad Rizwan,T20I,3,48.37,126.01,14.07,33.23,3386,5535.2
Fakhar Zaman,PSL,3,31.2,143.04,20.03,34.51,3370,5504.5
HM Nicholls,Test,6,39.51,51.33,5.82,72.62,3358,3086.2
MC Henriques,BBL,3,27.28,129.43,13.42,30.74,3356,4779.6
ADS Fletcher,CPL,3,29.58,123.86,16.01,41.87,3343,4800.2
AJ Healy,ODI,3,38.32,101.28,15.4,52.31,3334,4623.1
Mohammad Hafeez,Test,6,36.9,57.86,7.75,72.25,3321,3202.2
BM Duckett,Test,6,40.0,86.64,11.93,58.59,3320,4159.7
AJ Finch,BBL,3,35.98,131.25,16.26,36.52,3310,5231.0
Q de Kock,Test,6,37.93,70.94,9.54,64.92,3300,3611.2
AC Jayangani,ODI,6,35.11,79.56,11.52,60.7,3300,3817.5
DA Miller,IPL,3,34.25,139.44,16.41,31.04,3288,5364.8
KL Rahul,ODI,6,50.51,91.02,9.12,45.88,3283,4603.3
BJ Haddin,Test,6,32.34,58.46,7.48,71.7,3266,3013.3
E Chigumbura,ODI,6,25.32,78.83,8.13,55.71,3266,3280.4
AG Prince,Test,6,44.67,44.26,4.94,75.55,3261,3108.3
DA Warner,T20I,3,32.87,142.78,19.96,37.69,3254,5496.0
H Kaur,ODI,6,38.21,82.77,9.2,51.1,3248,3953.0
Liton Das,Test,6,35.99,60.22,7.68,69.01,3239,3198.0
H Kaur,T20I,3,30.14,115.55,13.94,37.05,3225,4618.9
YK Pathan,IPL,3,29.03,143.52,18.89,34.79,3222,5327.6
MP Stoinis,BBL,3,32.84,133.97,16.78,36.55,3218,5171.4
HK Matthews,ODI,6,38.23,81.52,10.84,57.3,3211,3951.6
AN Cook,ODI,6,37.26,77.26,8.99,57.78,3204,3724.8
GJ Maxwell,BBL,3,33.64,155.3,20.02,30.52,3196,5796.5
SA Yadav,T20I,3,36.3,162.3,23.53,32.57,3194,6197.9
AK Markram,Test,6,35.08,59.03,8.66,72.17,3192,3191.5
HK Matthews,T20I,3,29.28,116.8,17.24,45.24,3191,4701.9
SB Styris,ODI,6,38.83,81.52,7.71,50.38,3184,3860.2
HDRL Thirimanne,ODI,6,35.95,72.44,6.18,53.21,3164,3480.7
PR Stirling,T20I,3,26.12,133.9,20.3,42.75,3160,5055.8
BL Mooney,ODI,6,47.8,89.45,9.75,47.07,3155,4485.7
Shubman Gill,ODI,7,54.16,99.05,13.47,50.68,3141,5051.8
