striker,format,recent_runs,recent_avg,recent_sr,career_avg,career_sr,form_score,form_label
J Edwards,BBL,158,13.48,145.69,15.82,120.21,103.2,Good
J Edwards,T20I,5,5.0,83.33,5.0,83.33,100.0,Good
J Erdenesuvd,T20I,4,4.0,11.11,2.25,14.29,127.8,On Fire
J Essex,T20I,78,19.5,76.47,14.5,73.11,119.5,On Fire
J Fernando,T20I,168,18.56,148.5,16.8,134.4,110.5,On Fire
J Figy John,T20I,19,9.5,63.33,9.5,63.33,100.0,Good
J Fraser-McGurk,BBL,297,19.705,143.69,18.48,129.3,108.9,Good
J Fraser-McGurk,IPL,55,9.17,105.77,27.5,199.48,43.2,Poor
J Fraser-McGurk,ODI,11,5.5,61.11,14.0,132.43,42.7,Poor
J Fraser-McGurk,T20I,2,2.0,28.57,14.38,133.72,17.6,Poor
J Gallimore,T20I,28,28.0,96.55,39.0,97.5,85.4,Good
J Ghelzai,T20I,10,3.33,111.11,3.33,111.11,100.0,Good
J Giyanani,ODI,4,4.0,80.0,4.0,80.0,100.0,Good
J Glasgow,ODI,240,14.135000000000002,76.475,14.12,75.71,100.6,Good
J Glasgow,T20I,237,27.595,104.825,22.45,101.65,113.0,On Fire
J Grewcock,ODI,13,6.5,32.5,6.5,32.5,100.0,Good
J Guatam,T20I,103,25.75,132.05,25.75,132.05,100.0,Good
J Gunasekar,T20I,922,41.91,108.78,41.91,109.24,99.8,Good
J Henry,T20I,43,10.75,75.44,9.0,86.3,103.4,Good
J Hicks,T20I,0,0.0,0.0,0.0,0.0,0.0,
J Horrocks,T20I,13,6.5,256.25,7.4,84.09,196.3,On Fire
J Jarvis,ODI,69,11.5,83.33500000000001,8.82,72.39,122.8,On Fire
J Jarvis,T20I,34,17.0,122.225,15.33,108.24,111.9,On Fire
J Jemison,T20I,124,18.68,91.11500000000001,10.74,77.27,145.9,On Fire
J Kariko,T20I,10,5.0,100.0,5.5,75.86,111.4,On Fire
J Khadka,T20I,4,2.0,50.0,4.0,44.44,81.3,Average
J Kokam,T20I,7,7.0,36.84,7.0,36.84,100.0,Good
J Kominkova,T20I,37,6.17,40.22,4.4,38.94,121.8,On Fire
J Kunnanchirakkal,T20I,4,2.0,66.67,2.0,66.67,100.0,Good
J Lassayo,T20I,14,2.875,51.985,2.8,56.0,97.8,Good
J Layne,Test,15,5.0,68.18,5.0,68.18,100.0,Good
J Little,ODI,1,1.0,33.33,9.0,93.1,23.5,Poor
J Little,T20I,1,1.0,100.0,13.67,87.23,61.0,Average
J Liyanage,ODI,572,43.065,93.59,44.73,86.32,102.3,Good
